competidor,grupo,rodada,data_jogo,hora_jogo,time_casa,time_visitante,cidade,placar_casa_previsto,placar_visitante_previsto,arquivo_origem
Arthur,A,1,2026-06-11,,México,África do Sul,Cidade do México,-1.0,-1.0,Arthur_previsoes.xlsx
Arthur,A,2,2026-06-11,,Coreia do Sul,República Tcheca,Guadalajara,-1.0,-1.0,Arthur_previsoes.xlsx
Arthur,A,3,2026-06-18,,República Tcheca,África do Sul,Atlanta,,,Arthur_previsoes.xlsx
Arthur,A,4,2026-06-18,,México,Coreia do Sul,Guadalajara,,,Arthur_previsoes.xlsx
Arthur,A,5,2026-06-24,,República Tcheca,México,Cidade do México,,,Arthur_previsoes.xlsx
Arthur,A,6,2026-06-24,,África do Sul,Coreia do Sul,Monterrey,,,Arthur_previsoes.xlsx
Arthur,B,1,2026-06-12,,Canadá,Bósnia-Herzegovina,Toronto,100.0,99.0,Arthur_previsoes.xlsx
Arthur,B,2,2026-06-13,,Catar,Suíça,Santa Clara,1.0,3.0,Arthur_previsoes.xlsx
Arthur,B,3,2026-06-18,,Suíça,Bósnia-Herzegovina,Los Angeles,,,Arthur_previsoes.xlsx
Arthur,B,4,2026-06-18,,Canadá,Catar,Vancouver,,,Arthur_previsoes.xlsx
Arthur,B,5,2026-06-24,,Suíça,Canadá,Vancouver,,,Arthur_previsoes.xlsx
Arthur,B,6,2026-06-24,,Bósnia-Herzegovina,Catar,Seattle,,,Arthur_previsoes.xlsx
Arthur,C,1,2026-06-13,,Brasil,Marrocos,Nova Jersey,2.0,1.0,Arthur_previsoes.xlsx
Arthur,C,2,2026-06-13,,Haiti,Escócia,Boston,0.0,3.0,Arthur_previsoes.xlsx
Arthur,C,3,2026-06-19,,Escócia,Marrocos,Boston,,,Arthur_previsoes.xlsx
Arthur,C,4,2026-06-19,,Brasil,Haiti,Filadélfia,,,Arthur_previsoes.xlsx
Arthur,C,5,2026-06-24,,Marrocos,Haiti,Atlanta,,,Arthur_previsoes.xlsx
Arthur,C,6,2026-06-24,,Escócia,Brasil,Miami,,,Arthur_previsoes.xlsx
Arthur,D,1,2026-06-12,,Estados Unidos,Paraguai,Los Angeles,1.0,2.0,Arthur_previsoes.xlsx
Arthur,D,2,2026-06-14,,Austrália,Turquia,Vancouver,0.0,2.0,Arthur_previsoes.xlsx
Arthur,D,3,2026-06-19,,Estados Unidos,Austrália,Seattle,,,Arthur_previsoes.xlsx
Arthur,D,4,2026-06-20,,Turquia,Paraguai,São Francisco,,,Arthur_previsoes.xlsx
Arthur,D,5,2026-06-25,,Turquia,Estados Unidos,Los Angeles,,,Arthur_previsoes.xlsx
Arthur,D,6,2026-06-25,,Paraguai,Austrália,São Francisco,,,Arthur_previsoes.xlsx
Arthur,E,1,2026-06-14,,Alemanha,Curaçao,Houston,4.0,0.0,Arthur_previsoes.xlsx
Arthur,E,2,2026-06-14,,Costa do Marfim,Equador,Filadélfia,1.0,1.0,Arthur_previsoes.xlsx
Arthur,E,3,2026-06-20,,Alemanha,Costa do Marfim,Toronto,,,Arthur_previsoes.xlsx
Arthur,E,4,2026-06-20,,Equador,Curaçao,Kansas City,,,Arthur_previsoes.xlsx
Arthur,E,5,2026-06-25,,Curaçao,Costa do Marfim,Filadélfia,,,Arthur_previsoes.xlsx
Arthur,E,6,2026-06-25,,Equador,Alemanha,Nova Jersey,,,Arthur_previsoes.xlsx
Arthur,F,1,2026-06-14,,Holanda,Japão,Dallas,2.0,1.0,Arthur_previsoes.xlsx
Arthur,F,2,2026-06-14,,Suécia,Tunísia,Monterrey,3.0,1.0,Arthur_previsoes.xlsx
Arthur,F,3,2026-06-20,,Holanda,Suécia,Houston,,,Arthur_previsoes.xlsx
Arthur,F,4,2026-06-21,,Tunísia,Japão,Monterrey,,,Arthur_previsoes.xlsx
Arthur,F,5,2026-06-25,,Japão,Suécia,Dallas,,,Arthur_previsoes.xlsx
Arthur,F,6,2026-06-25,,Tunísia,Holanda,Kansas City,,,Arthur_previsoes.xlsx
Arthur,G,1,2026-06-15,,Bélgica,Egito,Seattle,2.0,0.0,Arthur_previsoes.xlsx
Arthur,G,2,2026-06-15,,Irã,Nova Zelândia,Los Angeles,2.0,0.0,Arthur_previsoes.xlsx
Arthur,G,3,2026-06-21,,Bélgica,Irã,Los Angeles,,,Arthur_previsoes.xlsx
Arthur,G,4,2026-06-21,,Nova Zelândia,Egito,Vancouver,,,Arthur_previsoes.xlsx
Arthur,G,5,2026-06-27,,Egito,Irã,Seattle,,,Arthur_previsoes.xlsx
Arthur,G,6,2026-06-27,,Nova Zelândia,Bélgica,Vancouver,,,Arthur_previsoes.xlsx
Arthur,H,1,2026-06-15,,Espanha,Cabo Verde,Atlanta,5.0,0.0,Arthur_previsoes.xlsx
Arthur,H,2,2026-06-15,,Arábia Saudita,Uruguai,Miami,1.0,2.0,Arthur_previsoes.xlsx
Arthur,H,3,2026-06-21,,Espanha,Arábia Saudita,Atlanta,,,Arthur_previsoes.xlsx
Arthur,H,4,2026-06-21,,Uruguai,Cabo Verde,Miami,,,Arthur_previsoes.xlsx
Arthur,H,5,2026-06-26,,Cabo Verde,Arábia Saudita,Houston,,,Arthur_previsoes.xlsx
Arthur,H,6,2026-06-26,,Uruguai,Espanha,Guadalajara,,,Arthur_previsoes.xlsx
Arthur,I,1,2026-06-16,,França,Senegal,Nova Jersey,,,Arthur_previsoes.xlsx
Arthur,I,2,2026-06-16,,Iraque,Noruega,Boston,,,Arthur_previsoes.xlsx
Arthur,I,3,2026-06-22,,França,Iraque,Filadélfia,,,Arthur_previsoes.xlsx
Arthur,I,4,2026-06-22,,Noruega,Senegal,Nova Jersey,,,Arthur_previsoes.xlsx
Arthur,I,5,2026-06-26,,Noruega,França,Boston,,,Arthur_previsoes.xlsx
Arthur,I,6,2026-06-26,,Senegal,Iraque,Toronto,,,Arthur_previsoes.xlsx
Arthur,J,1,2026-06-16,,Argentina,Argélia,Kansas City,,,Arthur_previsoes.xlsx
Arthur,J,2,2026-06-17,,Áustria,Jordânia,Santa Clara,,,Arthur_previsoes.xlsx
Arthur,J,3,2026-06-22,,Argentina,Áustria,Dallas,,,Arthur_previsoes.xlsx
Arthur,J,4,2026-06-23,,Jordânia,Argélia,São Francisco,,,Arthur_previsoes.xlsx
Arthur,J,5,2026-06-27,,Argélia,Áustria,Kansas City,,,Arthur_previsoes.xlsx
Arthur,J,6,2026-06-27,,Jordânia,Argentina,Dallas,,,Arthur_previsoes.xlsx
Arthur,K,1,2026-06-17,,Portugal,RD Congo,Houston,,,Arthur_previsoes.xlsx
Arthur,K,2,2026-06-17,,Uzbequistão,Colômbia,Cidade do México,,,Arthur_previsoes.xlsx
Arthur,K,3,2026-06-23,,Portugal,Uzbequistão,Houston,,,Arthur_previsoes.xlsx
Arthur,K,4,2026-06-23,,Colômbia,RD Congo,Guadalajara,,,Arthur_previsoes.xlsx
Arthur,K,5,2026-06-27,,Colômbia,Portugal,Miami,,,Arthur_previsoes.xlsx
Arthur,K,6,2026-06-27,,RD Congo,Uzbequistão,Atlanta,,,Arthur_previsoes.xlsx
Arthur,L,1,2026-06-17,,Inglaterra,Croácia,Dallas,,,Arthur_previsoes.xlsx
Arthur,L,2,2026-06-17,,Gana,Panamá,Toronto,,,Arthur_previsoes.xlsx
Arthur,L,3,2026-06-23,,Inglaterra,Gana,Boston,,,Arthur_previsoes.xlsx
Arthur,L,4,2026-06-23,,Panamá,Croácia,Toronto,,,Arthur_previsoes.xlsx
Arthur,L,5,2026-06-27,,Croácia,Gana,Filadélfia,,,Arthur_previsoes.xlsx
Arthur,L,6,2026-06-27,,Panamá,Inglaterra,Nova Jersey,,,Arthur_previsoes.xlsx
Bruno,A,1,2026-06-11,,México,África do Sul,Cidade do México,-1.0,-1.0,Bruno_previsoes.xlsx
Bruno,A,2,2026-06-11,,Coreia do Sul,República Tcheca,Guadalajara,-1.0,-1.0,Bruno_previsoes.xlsx
Bruno,A,3,2026-06-18,,República Tcheca,África do Sul,Atlanta,,,Bruno_previsoes.xlsx
Bruno,A,4,2026-06-18,,México,Coreia do Sul,Guadalajara,,,Bruno_previsoes.xlsx
Bruno,A,5,2026-06-24,,República Tcheca,México,Cidade do México,,,Bruno_previsoes.xlsx
Bruno,A,6,2026-06-24,,África do Sul,Coreia do Sul,Monterrey,,,Bruno_previsoes.xlsx
Bruno,B,1,2026-06-12,,Canadá,Bósnia-Herzegovina,Toronto,100.0,99.0,Bruno_previsoes.xlsx
Bruno,B,2,2026-06-13,,Catar,Suíça,Santa Clara,2.0,1.0,Bruno_previsoes.xlsx
Bruno,B,3,2026-06-18,,Suíça,Bósnia-Herzegovina,Los Angeles,,,Bruno_previsoes.xlsx
Bruno,B,4,2026-06-18,,Canadá,Catar,Vancouver,,,Bruno_previsoes.xlsx
Bruno,B,5,2026-06-24,,Suíça,Canadá,Vancouver,,,Bruno_previsoes.xlsx
Bruno,B,6,2026-06-24,,Bósnia-Herzegovina,Catar,Seattle,,,Bruno_previsoes.xlsx
Bruno,C,1,2026-06-13,,Brasil,Marrocos,Nova Jersey,4.0,0.0,Bruno_previsoes.xlsx
Bruno,C,2,2026-06-13,,Haiti,Escócia,Boston,1.0,2.0,Bruno_previsoes.xlsx
Bruno,C,3,2026-06-19,,Escócia,Marrocos,Boston,,,Bruno_previsoes.xlsx
Bruno,C,4,2026-06-19,,Brasil,Haiti,Filadélfia,,,Bruno_previsoes.xlsx
Bruno,C,5,2026-06-24,,Marrocos,Haiti,Atlanta,,,Bruno_previsoes.xlsx
Bruno,C,6,2026-06-24,,Escócia,Brasil,Miami,,,Bruno_previsoes.xlsx
Bruno,D,1,2026-06-12,,Estados Unidos,Paraguai,Los Angeles,1.0,2.0,Bruno_previsoes.xlsx
Bruno,D,2,2026-06-14,,Austrália,Turquia,Vancouver,1.0,2.0,Bruno_previsoes.xlsx
Bruno,D,3,2026-06-19,,Estados Unidos,Austrália,Seattle,,,Bruno_previsoes.xlsx
Bruno,D,4,2026-06-20,,Turquia,Paraguai,São Francisco,,,Bruno_previsoes.xlsx
Bruno,D,5,2026-06-25,,Turquia,Estados Unidos,Los Angeles,,,Bruno_previsoes.xlsx
Bruno,D,6,2026-06-25,,Paraguai,Austrália,São Francisco,,,Bruno_previsoes.xlsx
Bruno,E,1,2026-06-14,,Alemanha,Curaçao,Houston,3.0,0.0,Bruno_previsoes.xlsx
Bruno,E,2,2026-06-14,,Costa do Marfim,Equador,Filadélfia,1.0,1.0,Bruno_previsoes.xlsx
Bruno,E,3,2026-06-20,,Alemanha,Costa do Marfim,Toronto,,,Bruno_previsoes.xlsx
Bruno,E,4,2026-06-20,,Equador,Curaçao,Kansas City,,,Bruno_previsoes.xlsx
Bruno,E,5,2026-06-25,,Curaçao,Costa do Marfim,Filadélfia,,,Bruno_previsoes.xlsx
Bruno,E,6,2026-06-25,,Equador,Alemanha,Nova Jersey,,,Bruno_previsoes.xlsx
Bruno,F,1,2026-06-14,,Holanda,Japão,Dallas,2.0,1.0,Bruno_previsoes.xlsx
Bruno,F,2,2026-06-14,,Suécia,Tunísia,Monterrey,3.0,1.0,Bruno_previsoes.xlsx
Bruno,F,3,2026-06-20,,Holanda,Suécia,Houston,,,Bruno_previsoes.xlsx
Bruno,F,4,2026-06-21,,Tunísia,Japão,Monterrey,,,Bruno_previsoes.xlsx
Bruno,F,5,2026-06-25,,Japão,Suécia,Dallas,,,Bruno_previsoes.xlsx
Bruno,F,6,2026-06-25,,Tunísia,Holanda,Kansas City,,,Bruno_previsoes.xlsx
Bruno,G,1,2026-06-15,,Bélgica,Egito,Seattle,3.0,1.0,Bruno_previsoes.xlsx
Bruno,G,2,2026-06-15,,Irã,Nova Zelândia,Los Angeles,1.0,2.0,Bruno_previsoes.xlsx
Bruno,G,3,2026-06-21,,Bélgica,Irã,Los Angeles,,,Bruno_previsoes.xlsx
Bruno,G,4,2026-06-21,,Nova Zelândia,Egito,Vancouver,,,Bruno_previsoes.xlsx
Bruno,G,5,2026-06-27,,Egito,Irã,Seattle,,,Bruno_previsoes.xlsx
Bruno,G,6,2026-06-27,,Nova Zelândia,Bélgica,Vancouver,,,Bruno_previsoes.xlsx
Bruno,H,1,2026-06-15,,Espanha,Cabo Verde,Atlanta,4.0,1.0,Bruno_previsoes.xlsx
Bruno,H,2,2026-06-15,,Arábia Saudita,Uruguai,Miami,0.0,2.0,Bruno_previsoes.xlsx
Bruno,H,3,2026-06-21,,Espanha,Arábia Saudita,Atlanta,,,Bruno_previsoes.xlsx
Bruno,H,4,2026-06-21,,Uruguai,Cabo Verde,Miami,,,Bruno_previsoes.xlsx
Bruno,H,5,2026-06-26,,Cabo Verde,Arábia Saudita,Houston,,,Bruno_previsoes.xlsx
Bruno,H,6,2026-06-26,,Uruguai,Espanha,Guadalajara,,,Bruno_previsoes.xlsx
Bruno,I,1,2026-06-16,,França,Senegal,Nova Jersey,,,Bruno_previsoes.xlsx
Bruno,I,2,2026-06-16,,Iraque,Noruega,Boston,,,Bruno_previsoes.xlsx
Bruno,I,3,2026-06-22,,França,Iraque,Filadélfia,,,Bruno_previsoes.xlsx
Bruno,I,4,2026-06-22,,Noruega,Senegal,Nova Jersey,,,Bruno_previsoes.xlsx
Bruno,I,5,2026-06-26,,Noruega,França,Boston,,,Bruno_previsoes.xlsx
Bruno,I,6,2026-06-26,,Senegal,Iraque,Toronto,,,Bruno_previsoes.xlsx
Bruno,J,1,2026-06-16,,Argentina,Argélia,Kansas City,,,Bruno_previsoes.xlsx
Bruno,J,2,2026-06-17,,Áustria,Jordânia,Santa Clara,,,Bruno_previsoes.xlsx
Bruno,J,3,2026-06-22,,Argentina,Áustria,Dallas,,,Bruno_previsoes.xlsx
Bruno,J,4,2026-06-23,,Jordânia,Argélia,São Francisco,,,Bruno_previsoes.xlsx
Bruno,J,5,2026-06-27,,Argélia,Áustria,Kansas City,,,Bruno_previsoes.xlsx
Bruno,J,6,2026-06-27,,Jordânia,Argentina,Dallas,,,Bruno_previsoes.xlsx
Bruno,K,1,2026-06-17,,Portugal,RD Congo,Houston,,,Bruno_previsoes.xlsx
Bruno,K,2,2026-06-17,,Uzbequistão,Colômbia,Cidade do México,,,Bruno_previsoes.xlsx
Bruno,K,3,2026-06-23,,Portugal,Uzbequistão,Houston,,,Bruno_previsoes.xlsx
Bruno,K,4,2026-06-23,,Colômbia,RD Congo,Guadalajara,,,Bruno_previsoes.xlsx
Bruno,K,5,2026-06-27,,Colômbia,Portugal,Miami,,,Bruno_previsoes.xlsx
Bruno,K,6,2026-06-27,,RD Congo,Uzbequistão,Atlanta,,,Bruno_previsoes.xlsx
Bruno,L,1,2026-06-17,,Inglaterra,Croácia,Dallas,,,Bruno_previsoes.xlsx
Bruno,L,2,2026-06-17,,Gana,Panamá,Toronto,,,Bruno_previsoes.xlsx
Bruno,L,3,2026-06-23,,Inglaterra,Gana,Boston,,,Bruno_previsoes.xlsx
Bruno,L,4,2026-06-23,,Panamá,Croácia,Toronto,,,Bruno_previsoes.xlsx
Bruno,L,5,2026-06-27,,Croácia,Gana,Filadélfia,,,Bruno_previsoes.xlsx
Bruno,L,6,2026-06-27,,Panamá,Inglaterra,Nova Jersey,,,Bruno_previsoes.xlsx
Gabriel,A,1,2026-06-11,,México,África do Sul,Cidade do México,-1.0,-1.0,Gabriel_previsoes.xlsx
Gabriel,A,2,2026-06-11,,Coreia do Sul,República Tcheca,Guadalajara,-1.0,-1.0,Gabriel_previsoes.xlsx
Gabriel,A,3,2026-06-18,,República Tcheca,África do Sul,Atlanta,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,A,4,2026-06-18,,México,Coreia do Sul,Guadalajara,1.0,1.0,Gabriel_previsoes.xlsx
Gabriel,A,5,2026-06-24,,República Tcheca,México,Cidade do México,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,A,6,2026-06-24,,África do Sul,Coreia do Sul,Monterrey,0.0,3.0,Gabriel_previsoes.xlsx
Gabriel,B,1,2026-06-12,,Canadá,Bósnia-Herzegovina,Toronto,100.0,99.0,Gabriel_previsoes.xlsx
